2024/01/27 08:52:05 [error] 20#20: *12 open() "/www/localhost/favicon.ico" failed (2: No such file or directory), client: 192.168.65.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/"
2024/01/27 08:52:16 [error] 20#20: *12 open() "/www/localhost/index.html" failed (2: No such file or directory), client: 192.168.65.1, server: localhost, request: "GET /index.html HTTP/1.1", host: "127.0.0.1:8080"
2024/01/27 08:52:30 [error] 20#20: *12 open() "/www/localhost/index.html" failed (2: No such file or directory), client: 192.168.65.1, server: localhost, request: "GET /index.html HTTP/1.1", host: "127.0.0.1:8080"
2024/01/27 09:23:32 [error] 21#21: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /a.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:23:37 [error] 21#21: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:23:51 [error] 21#21: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:24:03 [error] 21#21: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:25:18 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:25:23 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:25:23 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:26:11 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:26:11 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:26:12 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:26:46 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /a.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:27:51 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /a.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:28:02 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:28:06 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:28:07 [error] 23#23: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:34:43 [error] 22#22: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:34:44 [error] 22#22: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
2024/01/27 09:34:44 [error] 22#22: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.65.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9501", host: "127.0.0.1:8080"
